,name,href,uid,guid,id,height,weight,age,position,jersey,salary,birthDate,headshot,lastName,experience,college,birthPlace,hand,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
10,Jayson Tatum,https://www.espn.com/nba/player/_/id/4065648/jayson-tatum,s:40~l:46~a:4065648,ed3343b02ffaf6b4e4223a1920938c81,4065648,80.0,210.0,22,PF,0.0,7830000.0,03/03/98,https://a.espncdn.com/i/headshots/nba/players/full/4065648.png,Jayson Tatum,3,Duke,,,225.0,225.0,31.8,6.3,13.8,45.7,1.8,4.5,40.1,2.9,3.6,82.9,0.8,5.1,6.0,2.2,0.8,1.2,2.1,1.7,17.3
11,Daniel Theis,https://www.espn.com/nba/player/_/id/2451037/daniel-theis,s:40~l:46~a:2451037,ce75206c087f83ace6f9a8e3efbd9671,2451037,80.0,245.0,28,C,27.0,5000000.0,04/04/92,https://a.espncdn.com/i/headshots/nba/players/full/2451037.png,Daniel Theis,3,,Germany,,194.0,69.0,17.6,2.6,4.8,55.5,0.4,1.1,34.4,1.1,1.4,75.3,1.6,3.1,4.8,1.2,0.9,0.5,2.8,0.7,6.7
12,Kemba Walker,https://www.espn.com/nba/player/_/id/6479/kemba-walker,s:40~l:46~a:6479,665c55b2776846ac62a04efb4c9bcc80,6479,72.0,184.0,30,PG,8.0,32742000.0,05/08/90,https://a.espncdn.com/i/headshots/nba/players/full/6479.png,Kemba Walker,9,Connecticut,"Bronx, NY",,661.0,616.0,33.8,6.9,16.4,41.9,2.2,6.1,36.0,3.9,4.7,83.7,0.6,3.3,3.8,5.4,0.4,1.3,1.5,2.2,19.9
13,Brad Wanamaker,https://www.espn.com/nba/player/_/id/6507/brad-wanamaker,s:40~l:46~a:6507,5aad35bbbb760e3958107639266768ae,6507,75.0,210.0,31,PG,9.0,1445697.0,07/25/89,https://a.espncdn.com/i/headshots/nba/players/full/6507.png,Brad Wanamaker,2,Pittsburgh,"Philadelphia, PA",,107.0,1.0,16.0,2.0,4.4,45.4,0.5,1.3,37.6,1.4,1.5,91.5,0.2,1.5,1.7,2.2,0.1,0.7,1.6,0.9,5.9
14,Tremont Waters,https://www.espn.com/nba/player/_/id/4278080/tremont-waters,s:40~l:46~a:4278080,af6e260eb5e35114915d1f5af1028733,4278080,70.0,175.0,22,PG,51.0,0.0,01/10/98,https://a.espncdn.com/i/headshots/nba/players/full/4278080.png,Tremont Waters,1,LSU,"New Haven, CT",,11.0,1.0,10.8,1.3,4.5,28.6,0.4,2.2,16.7,0.7,0.7,100.0,0.0,1.1,1.1,1.5,0.2,0.9,1.2,1.4,3.6
15,Grant Williams,https://www.espn.com/nba/player/_/id/4066218/grant-williams,s:40~l:46~a:4066218,3a93561dd9c3f1e8de40fbc7b40f7a5e,4066218,78.0,236.0,21,PF,12.0,2379840.0,11/30/98,https://a.espncdn.com/i/headshots/nba/players/full/4066218.png,Grant Williams,1,Tennessee,"Houston, TX",,69.0,5.0,15.1,1.3,3.1,41.2,0.3,1.4,25.0,0.6,0.8,72.2,0.9,1.7,2.6,1.0,0.5,0.4,2.4,0.7,3.4
16,Robert Williams III,https://www.espn.com/nba/player/_/id/4066211/robert-williams-iii,s:40~l:46~a:4066211,1b8d057b0e77fd5dfa4699bb325a88bf,4066211,80.0,237.0,23,C,44.0,1937520.0,10/17/97,https://a.espncdn.com/i/headshots/nba/players/full/4066211.png,Robert Williams III,2,Texas A&M,"Shreveport, LA",,61.0,3.0,11.0,1.6,2.3,71.9,0.0,0.0,0.0,0.5,0.8,63.3,1.1,2.3,3.4,0.6,1.2,0.5,1.4,0.5,3.8
17,Jarrett Allen,https://www.espn.com/nba/player/_/id/4066328/jarrett-allen,s:40~l:46~a:4066328,2c854df9a5a000969a6ec13cefab21d0,4066328,83.0,243.0,22,C,31.0,2376840.0,04/21/98,https://a.espncdn.com/i/headshots/nba/players/full/4066328.png,Jarrett Allen,3,Texas,"San Diego, CA",,222.0,175.0,24.3,3.9,6.4,60.9,0.0,0.3,16.7,2.2,3.1,69.4,2.5,5.3,7.8,1.2,1.4,0.5,2.2,1.2,10.1
18,Justin Anderson,https://www.espn.com/nba/player/_/id/2982340/justin-anderson,s:40~l:46~a:2982340,f8e9cbbb9c45522028bd1c54c154a261,2982340,77.0,231.0,26,SG,10.0,,11/19/93,https://a.espncdn.com/i/headshots/nba/players/full/2982340.png,Justin Anderson,5,Virginia,"Montross, VA",,226.0,24.0,13.1,1.8,4.5,41.4,0.6,2.2,29.6,0.9,1.2,77.4,0.6,1.9,2.5,0.7,0.3,0.4,1.2,0.6,5.2
19,Wilson Chandler,https://www.espn.com/nba/player/_/id/3194/wilson-chandler,s:40~l:46~a:3194,b149743089a545333c827fed0ccaa5da,3194,80.0,235.0,33,SF,21.0,1620564.0,05/10/87,https://a.espncdn.com/i/headshots/nba/players/full/3194.png,Wilson Chandler,12,DePaul,"Benton Harbor, MI",,676.0,483.0,30.0,4.8,10.9,44.3,1.3,3.8,34.1,1.6,2.0,77.0,1.1,4.2,5.3,1.8,0.6,0.7,2.7,1.4,12.5
20,Chris Chiozza,https://www.espn.com/nba/player/_/id/3137795/chris-chiozza,s:40~l:46~a:3137795,9a990b112a42aa231daa2f2dbafd582e,3137795,71.0,176.0,24,PG,4.0,0.0,11/21/95,https://a.espncdn.com/i/headshots/nba/players/full/3137795.png,Chris Chiozza,2,Florida,"Memphis, TN",,35.0,2.0,12.4,1.6,4.2,38.5,0.8,2.2,37.7,0.1,0.1,100.0,0.3,1.3,1.6,2.5,0.1,0.6,1.1,0.9,4.2
21,Nicolas Claxton,https://www.espn.com/nba/player/_/id/4278067/nicolas-claxton,s:40~l:46~a:4278067,2f68e9f3e30bd15451bb0c2a5334860a,4278067,83.0,215.0,21,PF,33.0,898310.0,04/17/99,https://a.espncdn.com/i/headshots/nba/players/full/4278067.png,Nicolas Claxton,1,Georgia,"Greenville, SC",,15.0,0.0,12.5,1.8,3.2,56.3,0.1,0.5,14.3,0.7,1.4,52.4,1.3,1.7,2.9,1.1,0.5,0.1,0.9,0.6,4.4
22,Jamal Crawford,https://www.espn.com/nba/player/_/id/165/jamal-crawford,s:40~l:46~a:165,003f5e22ed59ad2d4d340f367439de3b,165,77.0,185.0,40,SG,1.0,,03/20/80,https://a.espncdn.com/i/headshots/nba/players/full/165.png,Jamal Crawford,20,Michigan,"Seattle, WA",L,1327.0,433.0,29.4,5.1,12.4,41.0,1.7,4.8,34.8,2.8,3.2,86.2,0.4,1.9,2.2,3.4,0.2,0.9,1.5,1.9,14.6
23,Spencer Dinwiddie,https://www.espn.com/nba/player/_/id/2580782/spencer-dinwiddie,s:40~l:46~a:2580782,d161d7b2bf154c50b6380c8d8754efe4,2580782,77.0,215.0,27,PG,26.0,10605600.0,04/06/93,https://a.espncdn.com/i/headshots/nba/players/full/2580782.png,Spencer Dinwiddie,6,Colorado,"Los Angeles, CA",,317.0,130.0,25.7,4.2,10.1,41.0,1.4,4.4,31.8,3.2,4.1,79.3,0.4,2.3,2.8,5.0,0.3,0.7,2.4,1.8,12.9
24,Kevin Durant,https://www.espn.com/nba/player/_/id/3202/kevin-durant,s:40~l:46~a:3202,dc324fdeeee898e209acd31d8ad9909e,3202,82.0,240.0,32,SF,7.0,38199000.0,09/29/88,https://a.espncdn.com/i/headshots/nba/players/full/3202.png,Kevin Durant,12,Texas,"Washington, DC",,849.0,849.0,36.9,9.2,18.7,49.3,1.8,4.9,38.1,6.8,7.7,88.3,0.7,6.3,7.1,4.1,1.1,1.1,1.9,3.1,27.0
25,Donta Hall,https://www.espn.com/nba/player/_/id/3907408/donta-hall,s:40~l:46~a:3907408,4155f8682358fc3101be02e46bb3eb51,3907408,81.0,229.0,23,PF,45.0,,08/07/97,https://a.espncdn.com/i/headshots/nba/players/full/3907408.png,Donta Hall,1,Alabama,"Luverne, AL",,9.0,0.0,14.8,1.7,2.4,68.2,0.0,0.0,0.0,1.0,2.0,50.0,1.6,2.7,4.2,0.4,0.7,0.3,2.6,0.6,4.3
26,Joe Harris,https://www.espn.com/nba/player/_/id/2528794/joe-harris,s:40~l:46~a:2528794,654e75253cf08d2953951254860ee186,2528794,78.0,220.0,29,SF,12.0,7666667.0,09/06/91,https://a.espncdn.com/i/headshots/nba/players/full/2528794.png,Joe Harris,6,Virginia,"Chelan, WA",,331.0,171.0,24.3,3.8,8.0,47.9,1.9,4.4,42.6,0.9,1.2,77.9,0.6,2.6,3.1,1.6,0.2,0.5,2.0,1.2,10.4
27,Kyrie Irving,https://www.espn.com/nba/player/_/id/6442/kyrie-irving,s:40~l:46~a:6442,4fb2e3fcad79d9bcddd9bbb09f29ead3,6442,74.0,195.0,28,PG,11.0,31742000.0,03/23/92,https://a.espncdn.com/i/headshots/nba/players/full/6442.png,Kyrie Irving,9,Duke,Australia,,528.0,528.0,33.8,8.2,17.7,46.6,2.1,5.4,39.0,3.8,4.4,87.7,0.8,2.9,3.7,5.7,0.4,1.3,2.2,2.6,22.4
28,Tyler Johnson,https://www.espn.com/nba/player/_/id/2530276/tyler-johnson,s:40~l:46~a:2530276,51e61a865ce2cf7385c04bbeb1e902e7,2530276,76.0,190.0,28,SG,8.0,183115.0,05/07/92,https://a.espncdn.com/i/headshots/nba/players/full/2530276.png,Tyler Johnson,6,Fresno State,"Grand Forks, ND",,309.0,75.0,25.7,3.8,8.8,42.9,1.2,3.5,35.9,1.7,2.2,77.6,0.6,2.6,3.2,2.5,0.4,0.9,1.9,1.1,10.5
29,DeAndre Jordan,https://www.espn.com/nba/player/_/id/3442/deandre-jordan,s:40~l:46~a:3442,9c8e25a29e683ba859c8946b508a059e,3442,83.0,265.0,32,C,6.0,9881598.0,07/21/88,https://a.espncdn.com/i/headshots/nba/players/full/3442.png,DeAndre Jordan,12,Texas A&M,"Houston, TX",,875.0,713.0,27.8,3.8,5.7,66.9,0.0,0.0,9.1,1.9,3.9,47.4,3.2,7.6,10.8,0.9,1.6,0.6,2.6,1.4,9.5
30,Rodions Kurucs,https://www.espn.com/nba/player/_/id/4230548/rodions-kurucs,s:40~l:46~a:4230548,2dd9a52da382bdf8500a707cb4025696,4230548,81.0,228.0,22,SF,0.0,1699236.0,02/05/98,https://a.espncdn.com/i/headshots/nba/players/full/4230548.png,Rodions Kurucs,2,,Latvia,,110.0,55.0,18.0,2.6,5.7,44.9,0.8,2.5,33.2,0.9,1.2,73.8,0.7,2.7,3.5,0.9,0.3,0.6,2.1,1.1,6.8
31,Caris LeVert,https://www.espn.com/nba/player/_/id/2991043/caris-levert,s:40~l:46~a:2991043,32ca28ecabc26b16452fede2deec2b30,2991043,78.0,205.0,26,SG,22.0,2625718.0,08/25/94,https://a.espncdn.com/i/headshots/nba/players/full/2991043.png,Caris LeVert,4,Michigan,"Columbus, OH",,213.0,92.0,25.8,4.7,10.9,43.3,1.3,3.8,33.9,2.0,2.8,70.8,0.8,2.9,3.7,3.6,0.3,1.1,1.9,1.9,12.7
32,Timothe Luwawu-Cabarrot,https://www.espn.com/nba/player/_/id/3893019/timothe-luwawu-cabarrot,s:40~l:46~a:3893019,b0b01d3e3bae31c3ec0fc0221ea68a54,3893019,79.0,210.0,25,SG,9.0,654469.0,05/09/95,https://a.espncdn.com/i/headshots/nba/players/full/3893019.png,Timothe Luwawu-Cabarrot,4,,France,,218.0,35.0,16.1,2.0,5.1,39.8,0.9,2.7,33.8,1.2,1.4,82.8,0.4,1.7,2.0,0.8,0.1,0.4,2.0,0.8,6.1
33,Jeremiah Martin,https://www.espn.com/nba/player/_/id/3907788/jeremiah-martin,s:40~l:46~a:3907788,03780ce5adb19954fe4cb52bd748f164,3907788,74.0,185.0,24,PG,0.0,,06/19/96,https://a.espncdn.com/i/headshots/nba/players/full/3907788.png,Jeremiah Martin,1,Memphis,"Memphis, TN",,9.0,0.0,11.0,2.7,5.9,45.3,0.6,2.0,27.8,1.2,1.6,78.6,0.1,1.0,1.1,2.0,0.2,0.8,0.8,0.4,7.1
34,Dzanan Musa,https://www.espn.com/nba/player/_/id/4348696/dzanan-musa,s:40~l:46~a:4348696,ab1cc72137f128c1b28b539c37b0840a,4348696,81.0,217.0,21,SG,13.0,1911600.0,05/08/99,https://a.espncdn.com/i/headshots/nba/players/full/4348696.png,Dzanan Musa,2,,,,49.0,0.0,10.7,1.5,4.0,37.6,0.4,1.8,22.7,0.9,1.3,72.6,0.4,1.4,1.9,0.9,0.0,0.3,0.6,0.8,4.3
35,Taurean Prince,https://www.espn.com/nba/player/_/id/2990962/taurean-prince,s:40~l:46~a:2990962,bb4c77ff39aa4d3047a4a1e375f721d1,2990962,79.0,218.0,26,PF,2.0,3481986.0,03/22/94,https://a.espncdn.com/i/headshots/nba/players/full/2990962.png,Taurean Prince,4,Baylor,"San Marcos, TX",R,260.0,200.0,26.4,4.1,10.0,41.2,1.8,5.0,36.6,1.5,1.8,81.8,0.6,3.8,4.3,1.9,0.4,0.9,2.2,1.8,11.6
36,Garrett Temple,https://www.espn.com/nba/player/_/id/4023/garrett-temple,s:40~l:46~a:4023,4db0d5c9fcda03269e731d0b3b409658,4023,77.0,195.0,34,SG,17.0,4767000.0,05/08/86,https://a.espncdn.com/i/headshots/nba/players/full/4023.png,Garrett Temple,10,LSU,"Baton Rouge, LA",,576.0,246.0,21.1,2.3,5.6,40.3,1.0,2.8,34.7,0.9,1.2,73.9,0.4,1.9,2.3,1.7,0.3,0.8,1.9,0.9,6.4
37,Lance Thomas,https://www.espn.com/nba/player/_/id/6485/lance-thomas,s:40~l:46~a:6485,93912ce22927e55cf7d376e87877ee1e,6485,80.0,235.0,32,SF,42.0,7119650.0,04/24/88,https://a.espncdn.com/i/headshots/nba/players/full/6485.png,Lance Thomas,9,Duke,"Brooklyn, NY",,399.0,128.0,18.4,1.9,4.5,41.6,0.4,1.1,38.1,1.0,1.2,79.9,0.7,1.8,2.6,0.7,0.1,0.4,1.7,0.7,5.1
38,RJ Barrett,https://www.espn.com/nba/player/_/id/4395625/rj-barrett,s:40~l:46~a:4395625,92d6ee441fccf0585b219c8dc7d2efde,4395625,78.0,214.0,20,SG,9.0,7839960.0,06/14/00,https://a.espncdn.com/i/headshots/nba/players/full/4395625.png,RJ Barrett,1,Duke,"Toronto, ON",,56.0,55.0,30.4,5.2,13.0,40.2,1.1,3.5,32.0,2.8,4.5,61.4,0.9,4.1,5.0,2.6,0.3,1.0,2.2,2.2,14.3
39,Ignas Brazdeikis,https://www.espn.com/nba/player/_/id/4397205/ignas-brazdeikis,s:40~l:46~a:4397205,113393728f9bce210e964977825ce890,4397205,78.0,221.0,21,SF,17.0,898310.0,01/08/99,https://a.espncdn.com/i/headshots/nba/players/full/4397205.png,Ignas Brazdeikis,1,Michigan,Lithuania,,9.0,0.0,5.9,0.7,2.4,27.3,0.1,1.0,11.1,0.4,0.6,80.0,0.2,0.3,0.6,0.4,0.1,0.0,0.3,0.2,1.9
40,Reggie Bullock,https://www.espn.com/nba/player/_/id/2528779/reggie-bullock,s:40~l:46~a:2528779,aa25f4ed7be0dd09ba2859aaa11c7a95,2528779,78.0,205.0,29,SF,25.0,4000000.0,03/16/91,https://a.espncdn.com/i/headshots/nba/players/full/2528779.png,Reggie Bullock,7,North Carolina,"Baltimore, MD",,301.0,138.0,19.7,2.5,5.9,43.0,1.3,3.4,38.5,0.5,0.6,82.6,0.3,1.8,2.1,1.1,0.1,0.5,1.1,0.6,6.9
41,Damyean Dotson,https://www.espn.com/nba/player/_/id/2991149/damyean-dotson,s:40~l:46~a:2991149,1b6ee6970611c759fcfd64ab1e60730a,2991149,77.0,210.0,26,SG,21.0,1618520.0,05/06/94,https://a.espncdn.com/i/headshots/nba/players/full/2991149.png,Damyean Dotson,3,Houston,"Houston, TX",,165.0,42.0,20.1,2.9,7.0,42.0,1.3,3.5,36.1,0.7,0.9,72.1,0.3,2.3,2.6,1.4,0.1,0.6,1.3,0.7,7.8
42,Wayne Ellington,https://www.espn.com/nba/player/_/id/3981/wayne-ellington,s:40~l:46~a:3981,f949acb663824b8f848b00730ad25325,3981,76.0,207.0,32,SG,2.0,8000000.0,11/29/87,https://a.espncdn.com/i/headshots/nba/players/full/3981.png,Wayne Ellington,11,North Carolina,"Wynnewood, PA",R,681.0,166.0,21.0,2.9,7.1,40.8,1.5,3.9,37.8,0.7,0.8,84.6,0.3,1.9,2.2,1.1,0.1,0.5,1.1,0.7,8.0
43,Taj Gibson,https://www.espn.com/nba/player/_/id/3986/taj-gibson,s:40~l:46~a:3986,10759c57e920b75abcb943f9ec99c4dc,3986,81.0,232.0,35,C,67.0,9000000.0,06/24/85,https://a.espncdn.com/i/headshots/nba/players/full/3986.png,Taj Gibson,11,USC,"Brooklyn, NY",,799.0,440.0,25.2,4.0,7.7,51.5,0.0,0.1,22.0,1.6,2.2,70.9,2.3,3.9,6.3,1.0,1.0,0.6,2.5,1.2,9.5
44,Maurice Harkless,https://www.espn.com/nba/player/_/id/6591/maurice-harkless,s:40~l:46~a:6591,2c0c03b9aefc9fd80609fd3ae01a4301,6591,79.0,220.0,27,SF,3.0,11011234.0,05/11/93,https://a.espncdn.com/i/headshots/nba/players/full/6591.png,Maurice Harkless,8,St. John's,"Queens, NY",B,537.0,325.0,23.1,2.9,6.0,47.8,0.6,1.9,32.5,0.8,1.4,61.2,1.2,2.5,3.7,0.9,0.7,1.0,2.1,0.9,7.2
45,Jared Harper,https://www.espn.com/nba/player/_/id/4066248/jared-harper,s:40~l:46~a:4066248,ff1e65a12b0d428adad77e7801a963a1,4066248,71.0,175.0,23,PG,12.0,0.0,09/14/97,https://a.espncdn.com/i/headshots/nba/players/full/4066248.png,Jared Harper,1,Auburn,"Mableton, GA",,3.0,0.0,2.7,0.3,1.3,25.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
46,Kevin Knox II,https://www.espn.com/nba/player/_/id/4278075/kevin-knox-ii,s:40~l:46~a:4278075,51140a59574168876d48fb7620f5435a,4278075,79.0,215.0,21,SF,20.0,4380120.0,08/11/99,https://a.espncdn.com/i/headshots/nba/players/full/4278075.png,Kevin Knox II,2,Kentucky,"Phoenix, AZ",,140.0,61.0,23.7,3.4,9.4,36.7,1.4,4.0,33.7,1.6,2.3,69.7,0.6,3.1,3.7,1.0,0.4,0.5,2.0,1.1,9.9
47,Frank Ntilikina,https://www.espn.com/nba/player/_/id/4230547/frank-ntilikina,s:40~l:46~a:4230547,960a65ebc815b94c9fc02712bd4fd93f,4230547,76.0,200.0,22,PG,11.0,4855800.0,07/28/98,https://a.espncdn.com/i/headshots/nba/players/full/4230547.png,Frank Ntilikina,3,,Belgium,,178.0,51.0,21.3,2.3,6.3,36.6,0.7,2.3,31.1,0.7,0.9,78.3,0.4,1.8,2.2,3.1,0.3,0.8,2.4,1.4,6.0
48,Elfrid Payton,https://www.espn.com/nba/player/_/id/2583639/elfrid-payton,s:40~l:46~a:2583639,e2160cce28c6ea0ef083f0845a0951e6,2583639,75.0,195.0,26,PG,6.0,8000000.0,02/22/94,https://a.espncdn.com/i/headshots/nba/players/full/2583639.png,Elfrid Payton,6,Louisiana-Lafayette,"Gretna, LA",,387.0,331.0,29.3,4.5,10.0,45.2,0.4,1.4,28.9,1.5,2.4,62.5,1.1,3.3,4.4,6.6,0.4,1.3,2.2,2.4,11.0
49,Theo Pinson,https://www.espn.com/nba/player/_/id/3138154/theo-pinson,s:40~l:46~a:3138154,687b516ff60db03e4392fddc80f2a793,3138154,77.0,212.0,24,SG,1.0,1445697.0,11/05/95,https://a.espncdn.com/i/headshots/nba/players/full/3138154.png,Theo Pinson,2,North Carolina,"Greensboro, NC",L,51.0,0.0,11.3,1.4,4.5,30.7,0.5,2.5,21.4,0.7,0.7,89.5,0.3,1.5,1.8,1.5,0.1,0.5,1.0,1.0,3.9
50,Bobby Portis,https://www.espn.com/nba/player/_/id/3064482/bobby-portis,s:40~l:46~a:3064482,2f914525c16fdef642dbf2a4c1d27502,3064482,82.0,250.0,25,PF,1.0,15000000.0,02/10/95,https://a.espncdn.com/i/headshots/nba/players/full/3064482.png,Bobby Portis,5,Arkansas,"Little Rock, AR",L,315.0,54.0,20.4,4.1,9.0,45.6,0.9,2.4,36.0,1.1,1.5,75.4,1.7,4.2,5.9,1.2,0.3,0.5,1.8,1.1,10.2
51,Julius Randle,https://www.espn.com/nba/player/_/id/3064514/julius-randle,s:40~l:46~a:3064514,cea0d1d3635387c8929ec556ae36dc41,3064514,80.0,250.0,25,PF,30.0,18000000.0,11/29/94,https://a.espncdn.com/i/headshots/nba/players/full/3064514.png,Julius Randle,6,Kentucky,"Dallas, TX",,375.0,295.0,29.2,6.1,12.3,49.3,0.4,1.5,29.5,3.5,4.8,72.4,2.2,6.8,9.0,2.8,0.5,0.7,3.2,2.5,16.1
52,Mitchell Robinson,https://www.espn.com/nba/player/_/id/4351852/mitchell-robinson,s:40~l:46~a:4351852,0f21507bed4fc040eefc8223b67fab5b,4351852,84.0,240.0,22,C,23.0,1599712.0,04/01/98,https://a.espncdn.com/i/headshots/nba/players/full/4351852.png,Mitchell Robinson,2,Western Kentucky,"Pensacola, FL",,127.0,26.0,21.8,3.6,5.0,72.0,0.0,0.0,0.0,1.3,2.2,58.3,2.9,3.8,6.7,0.6,2.2,0.8,3.2,0.6,8.5
53,Dennis Smith Jr.,https://www.espn.com/nba/player/_/id/4065697/dennis-smith-jr,s:40~l:46~a:4065697,494249d173e339ec5b166668ff8eb030,4065697,74.0,205.0,22,PG,5.0,4463640.0,11/25/97,https://a.espncdn.com/i/headshots/nba/players/full/4065697.png,Dennis Smith Jr.,3,North Carolina State,"Fayetteville, NC",,156.0,122.0,26.2,4.8,12.1,40.0,1.2,3.9,31.4,1.7,2.6,64.7,0.7,2.5,3.2,4.5,0.3,1.1,2.2,2.6,12.5
54,Kenny Wooten,https://www.espn.com/nba/player/_/id/4278509/kenny-wooten,s:40~l:46~a:4278509,e32caf72b600f822b98b0fa339f0bf7e,4278509,81.0,225.0,22,PF,45.0,0.0,04/17/98,https://a.espncdn.com/i/headshots/nba/players/full/4278509.png,Kenny Wooten,0,Oregon,"Stockton, CA",,,,,,,,,,,,,,,,,,,,,,
